Benchmark id,Task,Nb train samples,Nb features,Nb test samples,Nb classes,Nb estimators,Fit time,Predict time,RAM peak (MB),VRAM peak (MB),Batch size,KV cache,Warmup,Offload mode,Nb jobs,Device,Use AMP,GPU name,Platform,Platform arch,Platform release,Platform version,CPU name,Nb cpus,RAM (GB),CUDA version,Torch version,TabICL version,Numpy version,Scipy version,Run label,Accuracy,Log loss,RMSE,R2,Run date
cb9fe3fe,classification,5000,50,2048,100,8,0.8946,4.539,182.9,5677,8,False,False,auto,-1,cuda,auto,NVIDIA L4,Linux,x86_64,7.0.0-1012-aws,#12~24.04.1-Ubuntu SMP PREEMPT Wed Aug 12 14:00:57 UTC 2026,AMD EPYC 7R13 Processor,4,15,NVIDIA L4: cuda_13.2,2.14.0,2.2.0,2.5.3,1.18.1,"full grid L4, auto offload",0.5552,2.059,nan,nan,2026-09-24
cb9fe3fe,classification,5000,50,2048,100,8,0.9186,4.565,163.6,5691,8,False,True,auto,-1,cuda,auto,NVIDIA L4,Linux,x86_64,7.0.0-1012-aws,#12~24.04.1-Ubuntu SMP PREEMPT Wed Aug 12 14:00:57 UTC 2026,AMD EPYC 7R13 Processor,4,15,NVIDIA L4: cuda_13.2,2.14.0,2.2.0,2.5.3,1.18.1,"full grid L4, auto offload",0.5552,2.059,nan,nan,2026-09-24
4981cc6a,classification,5000,50,2048,100,4,0.8919,2.191,163.2,2917,8,False,False,auto,-1,cuda,auto,NVIDIA L4,Linux,x86_64,7.0.0-1012-aws,#12~24.04.1-Ubuntu SMP PREEMPT Wed Aug 12 14:00:57 UTC 2026,AMD EPYC 7R13 Processor,4,15,NVIDIA L4: cuda_13.2,2.14.0,2.2.0,2.5.3,1.18.1,"full grid L4, auto offload",0.5254,2.123,nan,nan,2026-09-24
4981cc6a,classification,5000,50,2048,100,4,0.9011,2.227,170.9,2915,8,False,True,auto,-1,cuda,auto,NVIDIA L4,Linux,x86_64,7.0.0-1012-aws,#12~24.04.1-Ubuntu SMP PREEMPT Wed Aug 12 14:00:57 UTC 2026,AMD EPYC 7R13 Processor,4,15,NVIDIA L4: cuda_13.2,2.14.0,2.2.0,2.5.3,1.18.1,"full grid L4, auto offload",0.5254,2.123,nan,nan,2026-09-24
2392110f,classification,5000,50,2048,100,2,0.8895,1.123,168.9,1519,8,False,False,auto,-1,cuda,auto,NVIDIA L4,Linux,x86_64,7.0.0-1012-aws,#12~24.04.1-Ubuntu SMP PREEMPT Wed Aug 12 14:00:57 UTC 2026,AMD EPYC 7R13 Processor,4,15,NVIDIA L4: cuda_13.2,2.14.0,2.2.0,2.5.3,1.18.1,"full grid L4, auto offload",0.4697,2.262,nan,nan,2026-09-24
2392110f,classification,5000,50,2048,100,2,0.9039,1.146,174.3,1518,8,False,True,auto,-1,cuda,auto,NVIDIA L4,Linux,x86_64,7.0.0-1012-aws,#12~24.04.1-Ubuntu SMP PREEMPT Wed Aug 12 14:00:57 UTC 2026,AMD EPYC 7R13 Processor,4,15,NVIDIA L4: cuda_13.2,2.14.0,2.2.0,2.5.3,1.18.1,"full grid L4, auto offload",0.4697,2.262,nan,nan,2026-09-24
8c716088,classification,5000,50,2048,100,1,0.3581,0.5647,161.7,1513,8,False,True,auto,-1,cuda,auto,NVIDIA L4,Linux,x86_64,7.0.0-1012-aws,#12~24.04.1-Ubuntu SMP PREEMPT Wed Aug 12 14:00:57 UTC 2026,AMD EPYC 7R13 Processor,4,15,NVIDIA L4: cuda_13.2,2.14.0,2.2.0,2.5.3,1.18.1,"full grid L4, auto offload",0.4458,2.316,nan,nan,2026-09-24
8c716088,classification,5000,50,2048,100,1,0.3637,0.5437,177.3,1495,8,False,False,auto,-1,cuda,auto,NVIDIA L4,Linux,x86_64,7.0.0-1012-aws,#12~24.04.1-Ubuntu SMP PREEMPT Wed Aug 12 14:00:57 UTC 2026,AMD EPYC 7R13 Processor,4,15,NVIDIA L4: cuda_13.2,2.14.0,2.2.0,2.5.3,1.18.1,"full grid L4, auto offload",0.4458,2.316,nan,nan,2026-09-24
b23f4af5,classification,5000,50,512,10,8,0.9055,1.777,169.5,3913,8,False,False,auto,-1,cuda,auto,NVIDIA L4,Linux,x86_64,7.0.0-1012-aws,#12~24.04.1-Ubuntu SMP PREEMPT Wed Aug 12 14:00:57 UTC 2026,AMD EPYC 7R13 Processor,4,15,NVIDIA L4: cuda_13.2,2.14.0,2.2.0,2.5.3,1.18.1,"full grid L4, auto offload",0.9883,0.07706,nan,nan,2026-09-24
b23f4af5,classification,5000,50,512,10,8,0.9178,1.785,172.4,3914,8,False,True,auto,-1,cuda,auto,NVIDIA L4,Linux,x86_64,7.0.0-1012-aws,#12~24.04.1-Ubuntu SMP PREEMPT Wed Aug 12 14:00:57 UTC 2026,AMD EPYC 7R13 Processor,4,15,NVIDIA L4: cuda_13.2,2.14.0,2.2.0,2.5.3,1.18.1,"full grid L4, auto offload",0.9883,0.07706,nan,nan,2026-09-24
b23f4af5,classification,5000,50,512,10,8,2.492,0.1491,179.9,4139,8,True,True,auto,-1,cuda,auto,NVIDIA L4,Linux,x86_64,7.0.0-1012-aws,#12~24.04.1-Ubuntu SMP PREEMPT Wed Aug 12 14:00:57 UTC 2026,AMD EPYC 7R13 Processor,4,15,NVIDIA L4: cuda_13.2,2.14.0,2.2.0,2.5.3,1.18.1,"full grid L4, auto offload",0.9883,0.07706,nan,nan,2026-09-24
b23f4af5,classification,5000,50,512,10,8,2.497,0.1695,172.7,4143,8,True,False,auto,-1,cuda,auto,NVIDIA L4,Linux,x86_64,7.0.0-1012-aws,#12~24.04.1-Ubuntu SMP PREEMPT Wed Aug 12 14:00:57 UTC 2026,AMD EPYC 7R13 Processor,4,15,NVIDIA L4: cuda_13.2,2.14.0,2.2.0,2.5.3,1.18.1,"full grid L4, auto offload",0.9883,0.07706,nan,nan,2026-09-24
2d0d54ce,classification,5000,50,512,10,4,0.9198,0.8446,183.9,2010,8,False,False,auto,-1,cuda,auto,NVIDIA L4,Linux,x86_64,7.0.0-1012-aws,#12~24.04.1-Ubuntu SMP PREEMPT Wed Aug 12 14:00:57 UTC 2026,AMD EPYC 7R13 Processor,4,15,NVIDIA L4: cuda_13.2,2.14.0,2.2.0,2.5.3,1.18.1,"full grid L4, auto offload",0.9883,0.08358,nan,nan,2026-09-24
2d0d54ce,classification,5000,50,512,10,4,0.9373,0.8509,179.9,2012,8,False,True,auto,-1,cuda,auto,NVIDIA L4,Linux,x86_64,7.0.0-1012-aws,#12~24.04.1-Ubuntu SMP PREEMPT Wed Aug 12 14:00:57 UTC 2026,AMD EPYC 7R13 Processor,4,15,NVIDIA L4: cuda_13.2,2.14.0,2.2.0,2.5.3,1.18.1,"full grid L4, auto offload",0.9883,0.08358,nan,nan,2026-09-24
2d0d54ce,classification,5000,50,512,10,4,1.672,0.07703,170.5,2130,8,True,False,auto,-1,cuda,auto,NVIDIA L4,Linux,x86_64,7.0.0-1012-aws,#12~24.04.1-Ubuntu SMP PREEMPT Wed Aug 12 14:00:57 UTC 2026,AMD EPYC 7R13 Processor,4,15,NVIDIA L4: cuda_13.2,2.14.0,2.2.0,2.5.3,1.18.1,"full grid L4, auto offload",0.9883,0.08358,nan,nan,2026-09-24
2d0d54ce,classification,5000,50,512,10,4,1.685,0.07505,179.9,2131,8,True,True,auto,-1,cuda,auto,NVIDIA L4,Linux,x86_64,7.0.0-1012-aws,#12~24.04.1-Ubuntu SMP PREEMPT Wed Aug 12 14:00:57 UTC 2026,AMD EPYC 7R13 Processor,4,15,NVIDIA L4: cuda_13.2,2.14.0,2.2.0,2.5.3,1.18.1,"full grid L4, auto offload",0.9883,0.08358,nan,nan,2026-09-24
722481d7,classification,5000,50,512,10,2,0.9118,0.4283,175.6,1062,8,False,False,auto,-1,cuda,auto,NVIDIA L4,Linux,x86_64,7.0.0-1012-aws,#12~24.04.1-Ubuntu SMP PREEMPT Wed Aug 12 14:00:57 UTC 2026,AMD EPYC 7R13 Processor,4,15,NVIDIA L4: cuda_13.2,2.14.0,2.2.0,2.5.3,1.18.1,"full grid L4, auto offload",0.9844,0.09162,nan,nan,2026-09-24
722481d7,classification,5000,50,512,10,2,0.9193,0.4262,179.9,1065,8,False,True,auto,-1,cuda,auto,NVIDIA L4,Linux,x86_64,7.0.0-1012-aws,#12~24.04.1-Ubuntu SMP PREEMPT Wed Aug 12 14:00:57 UTC 2026,AMD EPYC 7R13 Processor,4,15,NVIDIA L4: cuda_13.2,2.14.0,2.2.0,2.5.3,1.18.1,"full grid L4, auto offload",0.9844,0.09162,nan,nan,2026-09-24
722481d7,classification,5000,50,512,10,2,1.289,0.0574,171.6,1122,8,True,True,auto,-1,cuda,auto,NVIDIA L4,Linux,x86_64,7.0.0-1012-aws,#12~24.04.1-Ubuntu SMP PREEMPT Wed Aug 12 14:00:57 UTC 2026,AMD EPYC 7R13 Processor,4,15,NVIDIA L4: cuda_13.2,2.14.0,2.2.0,2.5.3,1.18.1,"full grid L4, auto offload",0.9844,0.09162,nan,nan,2026-09-24
722481d7,classification,5000,50,512,10,2,1.289,0.06018,183.9,1127,8,True,False,auto,-1,cuda,auto,NVIDIA L4,Linux,x86_64,7.0.0-1012-aws,#12~24.04.1-Ubuntu SMP PREEMPT Wed Aug 12 14:00:57 UTC 2026,AMD EPYC 7R13 Processor,4,15,NVIDIA L4: cuda_13.2,2.14.0,2.2.0,2.5.3,1.18.1,"full grid L4, auto offload",0.9844,0.09162,nan,nan,2026-09-24
da56246a,classification,5000,50,512,10,1,0.3617,0.2117,177.9,1065,8,False,False,auto,-1,cuda,auto,NVIDIA L4,Linux,x86_64,7.0.0-1012-aws,#12~24.04.1-Ubuntu SMP PREEMPT Wed Aug 12 14:00:57 UTC 2026,AMD EPYC 7R13 Processor,4,15,NVIDIA L4: cuda_13.2,2.14.0,2.2.0,2.5.3,1.18.1,"full grid L4, auto offload",0.9883,0.08624,nan,nan,2026-09-24
da56246a,classification,5000,50,512,10,1,0.3673,0.2114,175.9,1063,8,False,True,auto,-1,cuda,auto,NVIDIA L4,Linux,x86_64,7.0.0-1012-aws,#12~24.04.1-Ubuntu SMP PREEMPT Wed Aug 12 14:00:57 UTC 2026,AMD EPYC 7R13 Processor,4,15,NVIDIA L4: cuda_13.2,2.14.0,2.2.0,2.5.3,1.18.1,"full grid L4, auto offload",0.9883,0.08624,nan,nan,2026-09-24
da56246a,classification,5000,50,512,10,1,0.5472,0.02872,181.9,993.2,8,True,False,auto,-1,cuda,auto,NVIDIA L4,Linux,x86_64,7.0.0-1012-aws,#12~24.04.1-Ubuntu SMP PREEMPT Wed Aug 12 14:00:57 UTC 2026,AMD EPYC 7R13 Processor,4,15,NVIDIA L4: cuda_13.2,2.14.0,2.2.0,2.5.3,1.18.1,"full grid L4, auto offload",0.9883,0.08623,nan,nan,2026-09-24
da56246a,classification,5000,50,512,10,1,0.5488,0.02767,173.7,991.4,8,True,True,auto,-1,cuda,auto,NVIDIA L4,Linux,x86_64,7.0.0-1012-aws,#12~24.04.1-Ubuntu SMP PREEMPT Wed Aug 12 14:00:57 UTC 2026,AMD EPYC 7R13 Processor,4,15,NVIDIA L4: cuda_13.2,2.14.0,2.2.0,2.5.3,1.18.1,"full grid L4, auto offload",0.9883,0.08623,nan,nan,2026-09-24
103ef219,classification,5000,50,512,100,8,0.9259,3.946,181.9,4556,8,False,False,auto,-1,cuda,auto,NVIDIA L4,Linux,x86_64,7.0.0-1012-aws,#12~24.04.1-Ubuntu SMP PREEMPT Wed Aug 12 14:00:57 UTC 2026,AMD EPYC 7R13 Processor,4,15,NVIDIA L4: cuda_13.2,2.14.0,2.2.0,2.5.3,1.18.1,"full grid L4, auto offload",0.5527,2.127,nan,nan,2026-09-24
103ef219,classification,5000,50,512,100,8,0.9454,3.985,167.3,4557,8,False,True,auto,-1,cuda,auto,NVIDIA L4,Linux,x86_64,7.0.0-1012-aws,#12~24.04.1-Ubuntu SMP PREEMPT Wed Aug 12 14:00:57 UTC 2026,AMD EPYC 7R13 Processor,4,15,NVIDIA L4: cuda_13.2,2.14.0,2.2.0,2.5.3,1.18.1,"full grid L4, auto offload",0.5527,2.127,nan,nan,2026-09-24
d60f5c65,classification,5000,50,512,100,4,0.9235,1.994,166.7,2339,8,False,True,auto,-1,cuda,auto,NVIDIA L4,Linux,x86_64,7.0.0-1012-aws,#12~24.04.1-Ubuntu SMP PREEMPT Wed Aug 12 14:00:57 UTC 2026,AMD EPYC 7R13 Processor,4,15,NVIDIA L4: cuda_13.2,2.14.0,2.2.0,2.5.3,1.18.1,"full grid L4, auto offload",0.5098,2.18,nan,nan,2026-09-24
d60f5c65,classification,5000,50,512,100,4,0.9552,1.956,181.9,2337,8,False,False,auto,-1,cuda,auto,NVIDIA L4,Linux,x86_64,7.0.0-1012-aws,#12~24.04.1-Ubuntu SMP PREEMPT Wed Aug 12 14:00:57 UTC 2026,AMD EPYC 7R13 Processor,4,15,NVIDIA L4: cuda_13.2,2.14.0,2.2.0,2.5.3,1.18.1,"full grid L4, auto offload",0.5098,2.18,nan,nan,2026-09-24
7f8a9243,classification,5000,50,512,100,2,0.9228,0.9894,175.7,1233,8,False,False,auto,-1,cuda,auto,NVIDIA L4,Linux,x86_64,7.0.0-1012-aws,#12~24.04.1-Ubuntu SMP PREEMPT Wed Aug 12 14:00:57 UTC 2026,AMD EPYC 7R13 Processor,4,15,NVIDIA L4: cuda_13.2,2.14.0,2.2.0,2.5.3,1.18.1,"full grid L4, auto offload",0.4688,2.314,nan,nan,2026-09-24
7f8a9243,classification,5000,50,512,100,2,0.9278,1.014,170.7,1233,8,False,True,auto,-1,cuda,auto,NVIDIA L4,Linux,x86_64,7.0.0-1012-aws,#12~24.04.1-Ubuntu SMP PREEMPT Wed Aug 12 14:00:57 UTC 2026,AMD EPYC 7R13 Processor,4,15,NVIDIA L4: cuda_13.2,2.14.0,2.2.0,2.5.3,1.18.1,"full grid L4, auto offload",0.4688,2.314,nan,nan,2026-09-24
5963c4cf,classification,5000,50,512,100,1,0.3609,0.4864,177.8,1213,8,False,False,auto,-1,cuda,auto,NVIDIA L4,Linux,x86_64,7.0.0-1012-aws,#12~24.04.1-Ubuntu SMP PREEMPT Wed Aug 12 14:00:57 UTC 2026,AMD EPYC 7R13 Processor,4,15,NVIDIA L4: cuda_13.2,2.14.0,2.2.0,2.5.3,1.18.1,"full grid L4, auto offload",0.4492,2.434,nan,nan,2026-09-24
5963c4cf,classification,5000,50,512,100,1,0.371,0.5015,177.9,1231,8,False,True,auto,-1,cuda,auto,NVIDIA L4,Linux,x86_64,7.0.0-1012-aws,#12~24.04.1-Ubuntu SMP PREEMPT Wed Aug 12 14:00:57 UTC 2026,AMD EPYC 7R13 Processor,4,15,NVIDIA L4: cuda_13.2,2.14.0,2.2.0,2.5.3,1.18.1,"full grid L4, auto offload",0.4492,2.434,nan,nan,2026-09-24
2a221fbe,classification,5000,50,32,10,8,0.917,1.605,172.5,3607,8,False,True,auto,-1,cuda,auto,NVIDIA L4,Linux,x86_64,7.0.0-1012-aws,#12~24.04.1-Ubuntu SMP PREEMPT Wed Aug 12 14:00:57 UTC 2026,AMD EPYC 7R13 Processor,4,15,NVIDIA L4: cuda_13.2,2.14.0,2.2.0,2.5.3,1.18.1,"full grid L4, auto offload",0.9688,0.05521,nan,nan,2026-09-24
2a221fbe,classification,5000,50,32,10,8,0.9231,1.588,172.5,3603,8,False,False,auto,-1,cuda,auto,NVIDIA L4,Linux,x86_64,7.0.0-1012-aws,#12~24.04.1-Ubuntu SMP PREEMPT Wed Aug 12 14:00:57 UTC 2026,AMD EPYC 7R13 Processor,4,15,NVIDIA L4: cuda_13.2,2.14.0,2.2.0,2.5.3,1.18.1,"full grid L4, auto offload",0.9688,0.05521,nan,nan,2026-09-24
2a221fbe,classification,5000,50,32,10,8,2.475,0.07218,172.9,4143,8,True,False,auto,-1,cuda,auto,NVIDIA L4,Linux,x86_64,7.0.0-1012-aws,#12~24.04.1-Ubuntu SMP PREEMPT Wed Aug 12 14:00:57 UTC 2026,AMD EPYC 7R13 Processor,4,15,NVIDIA L4: cuda_13.2,2.14.0,2.2.0,2.5.3,1.18.1,"full grid L4, auto offload",0.9688,0.05546,nan,nan,2026-09-24
2a221fbe,classification,5000,50,32,10,8,2.494,0.05486,179.9,4141,8,True,True,auto,-1,cuda,auto,NVIDIA L4,Linux,x86_64,7.0.0-1012-aws,#12~24.04.1-Ubuntu SMP PREEMPT Wed Aug 12 14:00:57 UTC 2026,AMD EPYC 7R13 Processor,4,15,NVIDIA L4: cuda_13.2,2.14.0,2.2.0,2.5.3,1.18.1,"full grid L4, auto offload",0.9688,0.05546,nan,nan,2026-09-24
a8a26d9a,classification,5000,50,32,10,4,0.9175,0.7927,166.6,1861,8,False,False,auto,-1,cuda,auto,NVIDIA L4,Linux,x86_64,7.0.0-1012-aws,#12~24.04.1-Ubuntu SMP PREEMPT Wed Aug 12 14:00:57 UTC 2026,AMD EPYC 7R13 Processor,4,15,NVIDIA L4: cuda_13.2,2.14.0,2.2.0,2.5.3,1.18.1,"full grid L4, auto offload",0.9688,0.06729,nan,nan,2026-09-24
a8a26d9a,classification,5000,50,32,10,4,0.9288,0.7985,176.9,1864,8,False,True,auto,-1,cuda,auto,NVIDIA L4,Linux,x86_64,7.0.0-1012-aws,#12~24.04.1-Ubuntu SMP PREEMPT Wed Aug 12 14:00:57 UTC 2026,AMD EPYC 7R13 Processor,4,15,NVIDIA L4: cuda_13.2,2.14.0,2.2.0,2.5.3,1.18.1,"full grid L4, auto offload",0.9688,0.06729,nan,nan,2026-09-24
a8a26d9a,classification,5000,50,32,10,4,1.685,0.06365,174.4,2130,8,True,False,auto,-1,cuda,auto,NVIDIA L4,Linux,x86_64,7.0.0-1012-aws,#12~24.04.1-Ubuntu SMP PREEMPT Wed Aug 12 14:00:57 UTC 2026,AMD EPYC 7R13 Processor,4,15,NVIDIA L4: cuda_13.2,2.14.0,2.2.0,2.5.3,1.18.1,"full grid L4, auto offload",0.9688,0.06703,nan,nan,2026-09-24
a8a26d9a,classification,5000,50,32,10,4,1.696,0.05562,166.6,2130,8,True,True,auto,-1,cuda,auto,NVIDIA L4,Linux,x86_64,7.0.0-1012-aws,#12~24.04.1-Ubuntu SMP PREEMPT Wed Aug 12 14:00:57 UTC 2026,AMD EPYC 7R13 Processor,4,15,NVIDIA L4: cuda_13.2,2.14.0,2.2.0,2.5.3,1.18.1,"full grid L4, auto offload",0.9688,0.06703,nan,nan,2026-09-24
8dd2724f,classification,5000,50,32,10,2,0.9189,0.4046,173.2,983.5,8,False,False,auto,-1,cuda,auto,NVIDIA L4,Linux,x86_64,7.0.0-1012-aws,#12~24.04.1-Ubuntu SMP PREEMPT Wed Aug 12 14:00:57 UTC 2026,AMD EPYC 7R13 Processor,4,15,NVIDIA L4: cuda_13.2,2.14.0,2.2.0,2.5.3,1.18.1,"full grid L4, auto offload",0.9688,0.09888,nan,nan,2026-09-24
8dd2724f,classification,5000,50,32,10,2,0.9428,0.403,179.9,986.9,8,False,True,auto,-1,cuda,auto,NVIDIA L4,Linux,x86_64,7.0.0-1012-aws,#12~24.04.1-Ubuntu SMP PREEMPT Wed Aug 12 14:00:57 UTC 2026,AMD EPYC 7R13 Processor,4,15,NVIDIA L4: cuda_13.2,2.14.0,2.2.0,2.5.3,1.18.1,"full grid L4, auto offload",0.9688,0.09888,nan,nan,2026-09-24
8dd2724f,classification,5000,50,32,10,2,1.311,0.05519,171.2,1120,8,True,True,auto,-1,cuda,auto,NVIDIA L4,Linux,x86_64,7.0.0-1012-aws,#12~24.04.1-Ubuntu SMP PREEMPT Wed Aug 12 14:00:57 UTC 2026,AMD EPYC 7R13 Processor,4,15,NVIDIA L4: cuda_13.2,2.14.0,2.2.0,2.5.3,1.18.1,"full grid L4, auto offload",0.9688,0.09873,nan,nan,2026-09-24
